53.0926809301,63.5371581953,1.0,
53.1131884304,63.5637064746,1.0,
53.1169880024,63.5664870695,1.0,
53.1178636158,63.5677227792,1.0,
53.118295852,63.5689321143,4.0,
53.1188860522,63.569597376,1.0,
53.1192979271,63.5722701271,2.0,
53.1193790224,63.5821603704,2.0,
53.1197316369,63.5849506049,1.0,
53.1201072356,63.5700126765,1.0,
53.120502239,63.5838519146,1.0,
53.1207600233,63.5754025389,2.0,
53.1208627787,63.5737073656,2.0,
53.1211258871,63.5872830469,1.0,
53.1212843148,63.5768092491,2.0,
53.1212975753,63.5856175592,2.0,
53.1213521988,63.5757378786,1.0,
53.1216307378,63.5849429183,4.0,
53.1216711355,63.579345375,1.0,
53.1217430215,63.5726439656,4.0,
53.1219680201,63.5832852475,1.0,
53.1222428023,63.5863502066,1.0,
53.1225716115,63.5779749424,1.0,
53.1226404901,63.5737905408,4.0,
53.122815905,63.5872386333,2.0,
53.1232922557,63.5782974111,2.0,
53.1234372625,63.5822514178,4.0,
53.1234503004,63.5881580925,1.0,
53.1235403445,63.5828070881,1.0,
53.1236589552,63.5870096311,1.0,
53.1241038779,63.5914281673,4.0,
53.1241387965,63.5802080691,1.0,
53.1242450258,63.5905866374,1.0,
53.1247443289,63.5843384212,4.0,
53.1249848619,63.578963767,2.0,
53.1251352911,63.5915066634,1.0,
53.1254215128,63.586561188,1.0,
53.125743856,63.5818090836,1.0,
53.1258915299,63.5931943446,4.0,
53.1260643484,63.5910084209,2.0,
53.1261199852,63.5947579183,4.0,
53.1262006152,63.5943953858,1.0,
53.1263766669,63.587789397,1.0,
53.1265614768,63.5776346105,2.0,
53.1267286711,63.5910529989,1.0,
53.1268189188,63.5785617739,1.0,
53.1269591838,63.5863952466,2.0,
53.1270754665,63.5800478772,4.0,
53.1270987421,63.5922462792,2.0,
53.1272823136,63.589096822,1.0,
53.1276246122,63.594059658,2.0,
53.1277448519,63.582739342,1.0,
53.1278618872,63.5957388853,2.0,
53.1280002159,63.5910290011,4.0,
53.1280326215,63.5789091591,2.0,
53.1280342698,63.597853527,4.0,
53.1280834189,63.596085606,1.0,
53.1286236897,63.5794887166,1.0,
53.1292453596,63.5801146586,2.0,
53.1296486355,63.5816671701,1.0,
53.1299188761,63.5933647844,1.0,
53.1299529227,63.5969459426,1.0,
53.1301406298,63.5911841258,2.0,
53.1301616728,63.5975685495,4.0,
53.1302676169,63.5842457055,1.0,
53.130297591,63.5858725849,2.0,
53.1305112122,63.5899610018,4.0,
53.1305811903,63.5537681697,1.0,
53.1306582242,63.588040492,2.0,
53.13071476,63.5981179772,2.0,
53.1309588557,63.5925448927,2.0,
53.1309699989,63.5828191268,2.0,
53.1310451683,63.5860278865,4.0,
53.1312534411,63.5982560446,4.0,
53.1315063614,63.5840690579,4.0,
53.1315588648,63.5840845917,1.0,
53.1316614629,63.5860083404,1.0,
53.1319562665,63.5930153378,1.0,
53.1320423488,63.5992797981,2.0,
53.1320565508,63.5892929997,2.0,
53.1323601262,63.5882909069,1.0,
53.1331181218,63.5992364587,1.0,
53.1351361627,63.5813760267,1.0,
53.1354482693,63.5779056167,2.0,
53.1360122544,63.5798100039,1.0,
53.136962607,63.5730296918,1.0,
53.1386524536,63.5877687485,1.0,
53.1404577748,63.5868788357,2.0,
53.1417252827,63.5938118215,4.0,
53.1420788538,63.5934913198,1.0,
