44.8032393537,65.593498723,1.0
44.8784164405,65.4483144107,2.0
44.8435289341,65.5141141116,1.0
44.8153483016,65.5272600718,1.0
44.8738046622,65.457611966,2.0
44.8516398734,65.5001528851,2.0
44.8432291732,65.5131599978,4.0
44.8457396714,65.4728493167,2.0
44.8256536753,65.5006840093,1.0
44.8523256008,65.5355210734,2.0
44.8613497824,65.5109521845,4.0
44.864828626,65.5138463056,2.0
44.8435317024,65.5222159352,2.0
44.8489753402,65.4894631687,4.0
44.8678108189,65.5198245327,1.0
44.7541192368,65.5341804183,1.0
44.8362360824,65.5263113443,8.0
44.8450909032,65.4950234351,4.0
44.8622682101,65.5058482763,4.0
44.7712220024,65.5542102371,2.0
44.8905739981,65.4656721601,4.0
44.8363074426,65.4947376212,1.0
44.7480294028,65.5227966403,1.0
44.8230222698,65.5181620223,16.0
44.8496116038,65.5444976867,1.0
44.8455834692,65.5231866609,8.0
44.8177814113,65.5149467639,1.0
44.7875066867,65.5311693729,1.0
44.7693287823,65.5532080285,4.0
44.800862034,65.567946181,1.0
44.7691981098,65.5498312983,4.0
44.7635854705,65.5451755709,2.0
44.8503104389,65.5317820221,2.0
44.8353000026,65.5346129557,4.0
44.8341893548,65.521193312,2.0
44.829544074,65.5080764458,1.0
44.8507497995,65.5432906037,2.0
44.7984633209,65.5478210704,1.0
44.8516361069,65.4758069686,2.0
44.8357393867,65.5022616437,1.0
44.8814766469,65.528711282,1.0
44.8330732727,65.5146141227,2.0
44.860647154,65.4925924134,4.0
44.8281250335,65.5145631496,4.0
44.8591200294,65.471566547,1.0
44.8013250691,65.5231902134,2.0
44.8484595605,65.5252433226,1.0
44.8493086849,65.4750651392,8.0
44.8465344711,65.4786152736,1.0
44.7979039702,65.5175736561,1.0
44.8349514592,65.4956546938,1.0
44.8420377735,65.4901831648,16.0
44.8324054901,65.5300676174,8.0
44.8466012255,65.5148758069,8.0
44.8538256318,65.4880253666,2.0
44.8383040628,65.5123475404,16.0
44.7832757618,65.5333376293,8.0
44.8138648224,65.5256031599,16.0
44.761193096,65.5339718176,2.0
44.8530788483,65.5067160606,1.0
44.762817364,65.5383981481,1.0
44.8682734328,65.5022964723,2.0
44.774231734,65.5602588101,4.0
44.8757629583,65.4791604261,1.0
44.8406381146,65.4884148956,8.0
44.944161628,65.3209185562,1.0
44.5851297239,65.5648573806,1.0
44.7713678771,65.4838992897,1.0
44.8124476031,65.5375579164,2.0
44.840315085,65.4901858733,2.0
44.8475579036,65.5270510675,4.0
44.856203937,65.53162706,4.0
44.821431535,65.5103755175,1.0
